arweave,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,1,0,1
02.01.2015,0,1,0,1
03.01.2015,0,1,0,1
04.01.2015,0,1,0,1
05.01.2015,0,1,0,1
06.01.2015,0,1,0,1
07.01.2015,0,1,0,1
08.01.2015,0,1,0,1
09.01.2015,0,1,0,1
10.01.2015,0,1,0,1
11.01.2015,0,1,0,1
12.01.2015,0,1,0,1
13.01.2015,0,1,0,1
14.01.2015,0,1,1,2
15.01.2015,0,1,1,2
16.01.2015,0,1,1,2
17.01.2015,0,1,1,2
18.01.2015,0,1,1,2
19.01.2015,0,1,1,2
20.01.2015,0,1,1,2
21.01.2015,0,1,1,2
22.01.2015,0,1,1,2
23.01.2015,0,1,1,2
24.01.2015,0,1,1,2
25.01.2015,0,1,1,2
26.01.2015,0,1,1,2
27.01.2015,0,1,1,2
28.01.2015,0,1,1,2
29.01.2015,0,1,1,2
30.01.2015,0,1,1,2
31.01.2015,0,1,1,2
01.02.2015,0,1,1,2
02.02.2015,0,1,1,2
03.02.2015,0,2,1,3
04.02.2015,0,2,1,3
05.02.2015,0,1,2,3
06.02.2015,0,1,2,3
07.02.2015,0,1,2,3
08.02.2015,0,1,2,3
09.02.2015,0,1,2,3
10.02.2015,0,1,2,3
11.02.2015,0,1,1,2
12.02.2015,0,1,1,2
13.02.2015,0,1,1,2
14.02.2015,0,1,1,2
15.02.2015,0,1,1,2
16.02.2015,0,1,1,2
17.02.2015,0,1,1,2
18.02.2015,0,0,1,1
19.02.2015,0,0,1,1
20.02.2015,0,0,1,1
21.02.2015,0,0,1,1
22.02.2015,0,0,1,1
23.02.2015,0,0,1,1
24.02.2015,0,0,1,1
25.02.2015,0,0,1,1
26.02.2015,0,0,1,1
27.02.2015,0,0,1,1
28.02.2015,0,0,1,1
01.03.2015,0,0,1,1
02.03.2015,0,0,1,1
12.03.2015,0,0,1,1
13.03.2015,0,0,1,1
14.03.2015,0,0,1,1
15.03.2015,0,0,1,1
16.03.2015,0,0,1,1
17.03.2015,0,0,1,1
18.03.2015,0,0,1,1
19.03.2015,0,0,1,1
20.03.2015,0,0,1,1
21.03.2015,0,0,1,1
22.03.2015,0,0,1,1
23.03.2015,0,0,1,1
24.03.2015,0,0,1,1
25.03.2015,0,0,1,1
26.03.2015,0,0,1,1
27.03.2015,0,0,1,1
28.03.2015,0,0,1,1
29.03.2015,0,0,1,1
30.03.2015,0,0,1,1
31.03.2015,0,0,1,1
01.04.2015,0,0,1,1
02.04.2015,0,0,1,1
03.04.2015,0,0,1,1
04.04.2015,0,0,1,1
05.04.2015,0,0,1,1
06.04.2015,0,0,1,1
07.04.2015,0,0,1,1
08.04.2015,0,0,1,1
24.04.2015,0,0,2,2
25.04.2015,0,0,2,2
26.04.2015,0,0,2,2
27.04.2015,0,0,2,2
28.04.2015,0,0,2,2
29.04.2015,0,0,2,2
30.04.2015,0,0,2,2
01.05.2015,0,0,2,2
02.05.2015,0,0,2,2
03.05.2015,0,0,2,2
04.05.2015,0,0,2,2
05.05.2015,0,0,2,2
06.05.2015,0,0,2,2
07.05.2015,0,0,2,2
08.05.2015,0,0,2,2
09.05.2015,0,0,2,2
10.05.2015,0,0,2,2
11.05.2015,0,0,2,2
12.05.2015,0,0,3,3
13.05.2015,0,0,3,3
14.05.2015,0,1,2,3
15.05.2015,0,1,2,3
16.05.2015,0,1,2,3
17.05.2015,0,1,2,3
18.05.2015,0,1,2,3
19.05.2015,0,1,2,3
20.05.2015,0,2,1,3
21.05.2015,0,2,1,3
22.05.2015,0,2,1,3
23.05.2015,0,2,1,3
24.05.2015,0,2,1,3
25.05.2015,0,2,1,3
26.05.2015,0,2,1,3
27.05.2015,0,2,1,3
28.05.2015,0,2,1,3
29.05.2015,0,3,1,4
30.05.2015,0,3,1,4
31.05.2015,0,3,1,4
01.06.2015,0,3,1,4
02.06.2015,0,3,1,4
03.06.2015,0,3,1,4
04.06.2015,0,3,1,4
05.06.2015,0,3,1,4
06.06.2015,0,3,1,4
07.06.2015,0,3,1,4
08.06.2015,0,3,1,4
09.06.2015,0,3,1,4
10.06.2015,0,3,1,4
11.06.2015,0,2,1,3
12.06.2015,0,2,1,3
13.06.2015,0,2,1,3
14.06.2015,0,2,1,3
15.06.2015,0,2,1,3
16.06.2015,0,2,1,3
17.06.2015,0,1,1,2
18.06.2015,0,1,1,2
19.06.2015,0,1,1,2
20.06.2015,0,1,1,2
21.06.2015,0,1,1,2
22.06.2015,0,1,1,2
23.06.2015,0,1,1,2
24.06.2015,0,1,1,2
25.06.2015,0,1,1,2
15.07.2015,0,1,0,1
16.07.2015,0,1,0,1
17.07.2015,0,1,1,2
18.07.2015,0,1,1,2
19.07.2015,0,1,1,2
20.07.2015,0,1,1,2
21.07.2015,0,1,1,2
22.07.2015,0,1,1,2
23.07.2015,0,1,1,2
24.07.2015,0,2,2,4
25.07.2015,0,2,2,4
26.07.2015,0,2,2,4
27.07.2015,0,2,2,4
28.07.2015,0,3,1,4
29.07.2015,0,3,1,4
30.07.2015,0,3,1,4
31.07.2015,0,3,1,4
01.08.2015,0,3,1,4
02.08.2015,0,3,1,4
03.08.2015,0,3,1,4
04.08.2015,0,3,1,4
05.08.2015,0,3,1,4
06.08.2015,0,3,1,4
07.08.2015,0,3,1,4
08.08.2015,0,3,1,4
09.08.2015,0,3,1,4
10.08.2015,0,3,1,4
11.08.2015,0,3,1,4
12.08.2015,0,3,1,4
13.08.2015,0,3,1,4
14.08.2015,0,3,1,4
15.08.2015,0,3,1,4
16.08.2015,0,3,1,4
17.08.2015,0,3,1,4
18.08.2015,0,3,1,4
19.08.2015,0,3,1,4
20.08.2015,0,3,2,5
21.08.2015,0,3,1,4
22.08.2015,0,3,1,4
23.08.2015,0,3,1,4
24.08.2015,0,3,2,5
25.08.2015,0,2,2,4
26.08.2015,0,2,2,4
27.08.2015,0,2,2,4
28.08.2015,0,2,2,4
29.08.2015,0,2,2,4
30.08.2015,0,2,2,4
31.08.2015,0,2,2,4
01.09.2015,0,2,2,4
02.09.2015,0,2,2,4
03.09.2015,0,2,2,4
04.09.2015,0,2,2,4
05.09.2015,0,2,2,4
06.09.2015,0,2,2,4
07.09.2015,0,2,2,4
08.09.2015,0,2,2,4
09.09.2015,0,2,2,4
10.09.2015,0,2,2,4
11.09.2015,0,2,2,4
12.09.2015,0,2,2,4
13.09.2015,0,2,2,4
14.09.2015,0,2,2,4
15.09.2015,0,2,2,4
16.09.2015,0,2,2,4
17.09.2015,0,2,1,3
18.09.2015,0,1,1,2
19.09.2015,0,1,1,2
20.09.2015,0,1,1,2
21.09.2015,0,1,0,1
22.09.2015,0,1,0,1
23.09.2015,0,1,0,1
24.09.2015,0,1,0,1
25.09.2015,0,1,0,1
26.09.2015,0,1,0,1
27.09.2015,0,1,0,1
13.10.2015,0,0,1,1
14.10.2015,0,0,1,1
15.10.2015,0,0,1,1
16.10.2015,0,0,1,1
17.10.2015,0,0,1,1
18.10.2015,0,0,1,1
19.10.2015,0,0,1,1
20.10.2015,0,0,1,1
21.10.2015,0,0,1,1
22.10.2015,0,0,1,1
23.10.2015,0,0,1,1
24.10.2015,0,0,1,1
25.10.2015,0,0,1,1
26.10.2015,0,0,1,1
27.10.2015,0,0,1,1
28.10.2015,0,0,1,1
29.10.2015,0,0,1,1
30.10.2015,0,0,1,1
31.10.2015,0,0,1,1
01.11.2015,0,0,1,1
02.11.2015,0,0,1,1
03.11.2015,0,0,1,1
04.11.2015,0,0,1,1
05.11.2015,0,0,1,1
06.11.2015,0,0,1,1
07.11.2015,0,0,1,1
08.11.2015,0,0,1,1
09.11.2015,0,0,1,1
25.11.2015,0,0,1,1
26.11.2015,0,0,1,1
27.11.2015,0,0,1,1
28.11.2015,0,0,1,1
29.11.2015,0,0,1,1
30.11.2015,0,0,1,1
01.12.2015,0,0,1,1
02.12.2015,0,0,2,2
03.12.2015,0,0,2,2
04.12.2015,0,0,2,2
05.12.2015,0,0,2,2
06.12.2015,0,0,2,2
07.12.2015,0,0,2,2
08.12.2015,0,0,2,2
09.12.2015,0,0,2,2
10.12.2015,0,0,2,2
11.12.2015,0,0,2,2
12.12.2015,0,0,2,2
13.12.2015,0,0,2,2
14.12.2015,0,0,2,2
15.12.2015,0,0,2,2
16.12.2015,0,0,2,2
17.12.2015,0,0,2,2
18.12.2015,0,0,2,2
19.12.2015,0,0,2,2
20.12.2015,0,0,2,2
21.12.2015,0,0,2,2
22.12.2015,0,0,2,2
23.12.2015,0,0,1,1
24.12.2015,0,0,1,1
25.12.2015,0,0,1,1
26.12.2015,0,0,1,1
27.12.2015,0,0,1,1
28.12.2015,0,0,1,1
29.12.2015,0,0,1,1
06.01.2016,0,1,0,1
07.01.2016,0,1,0,1
08.01.2016,0,1,0,1
09.01.2016,0,1,0,1
10.01.2016,0,1,0,1
11.01.2016,0,1,0,1
12.01.2016,0,1,0,1
13.01.2016,0,1,0,1
14.01.2016,0,1,0,1
15.01.2016,0,1,1,2
16.01.2016,0,1,1,2
17.01.2016,0,2,0,2
18.01.2016,0,2,0,2
19.01.2016,0,2,0,2
20.01.2016,0,2,0,2
21.01.2016,0,2,1,3
22.01.2016,0,2,1,3
23.01.2016,0,2,1,3
24.01.2016,0,2,1,3
25.01.2016,0,2,1,3
26.01.2016,0,2,1,3
27.01.2016,0,2,1,3
28.01.2016,0,3,0,3
29.01.2016,0,3,0,3
30.01.2016,0,3,0,3
31.01.2016,0,3,0,3
01.02.2016,0,3,0,3
02.02.2016,0,3,0,3
03.02.2016,0,2,0,2
04.02.2016,0,2,0,2
05.02.2016,0,2,0,2
06.02.2016,0,2,0,2
07.02.2016,0,2,0,2
08.02.2016,0,2,0,2
09.02.2016,0,2,0,2
10.02.2016,0,2,0,2
11.02.2016,0,2,0,2
12.02.2016,0,2,0,2
13.02.2016,0,2,0,2
14.02.2016,0,2,0,2
15.02.2016,0,2,0,2
16.02.2016,0,2,0,2
17.02.2016,0,2,0,2
18.02.2016,0,1,0,1
19.02.2016,0,1,0,1
20.02.2016,0,1,0,1
21.02.2016,0,1,0,1
22.02.2016,0,1,0,1
23.02.2016,0,1,0,1
24.02.2016,0,1,0,1
08.03.2016,0,0,1,1
09.03.2016,0,0,1,1
10.03.2016,0,1,1,2
11.03.2016,0,1,1,2
12.03.2016,0,1,1,2
13.03.2016,0,1,1,2
14.03.2016,0,1,2,3
15.03.2016,0,1,2,3
16.03.2016,0,1,2,3
17.03.2016,0,1,2,3
18.03.2016,0,2,2,4
19.03.2016,0,2,2,4
20.03.2016,0,2,2,4
21.03.2016,0,2,2,4
22.03.2016,0,2,2,4
23.03.2016,0,2,2,4
24.03.2016,0,2,2,4
25.03.2016,0,2,2,4
26.03.2016,0,2,2,4
27.03.2016,0,2,2,4
28.03.2016,0,3,1,4
29.03.2016,0,3,1,4
30.03.2016,0,2,2,4
31.03.2016,0,3,1,4
01.04.2016,0,3,1,4
02.04.2016,0,3,1,4
03.04.2016,0,3,1,4
04.04.2016,0,3,1,4
05.04.2016,0,3,1,4
06.04.2016,0,3,2,5
07.04.2016,0,3,2,5
08.04.2016,0,4,2,6
09.04.2016,0,4,2,6
10.04.2016,0,4,2,6
11.04.2016,0,4,1,5
12.04.2016,0,4,1,5
13.04.2016,0,4,1,5
14.04.2016,0,3,2,5
15.04.2016,0,3,2,5
16.04.2016,0,3,2,5
17.04.2016,0,3,2,5
18.04.2016,0,3,2,5
19.04.2016,0,3,2,5
20.04.2016,0,3,2,5
21.04.2016,0,3,2,5
22.04.2016,0,3,2,5
23.04.2016,0,3,2,5
24.04.2016,0,3,2,5
25.04.2016,0,2,2,4
26.04.2016,0,2,2,4
27.04.2016,0,2,2,4
28.04.2016,0,2,2,4
29.04.2016,0,2,2,4
30.04.2016,0,2,2,4
01.05.2016,0,2,2,4
02.05.2016,0,2,2,4
03.05.2016,0,2,2,4
04.05.2016,0,1,1,2
05.05.2016,0,1,1,2
06.05.2016,0,1,0,1
07.05.2016,0,1,0,1
08.05.2016,0,1,0,1
09.05.2016,0,1,0,1
19.05.2016,0,1,1,2
20.05.2016,0,1,1,2
21.05.2016,0,1,1,2
22.05.2016,0,1,1,2
23.05.2016,0,1,1,2
24.05.2016,0,1,1,2
25.05.2016,0,1,1,2
26.05.2016,0,1,1,2
27.05.2016,0,2,1,3
28.05.2016,0,2,1,3
29.05.2016,0,2,1,3
30.05.2016,0,2,1,3
31.05.2016,0,2,1,3
01.06.2016,0,2,1,3
02.06.2016,0,2,1,3
03.06.2016,0,2,1,3
04.06.2016,0,2,2,4
05.06.2016,0,2,2,4
06.06.2016,0,2,2,4
07.06.2016,0,2,2,4
08.06.2016,0,2,2,4
09.06.2016,0,2,2,4
10.06.2016,0,2,2,4
11.06.2016,0,2,2,4
12.06.2016,0,2,2,4
13.06.2016,0,2,2,4
14.06.2016,0,2,2,4
15.06.2016,0,2,2,4
16.06.2016,0,1,1,2
17.06.2016,0,1,1,2
18.06.2016,0,1,1,2
19.06.2016,0,1,1,2
20.06.2016,0,1,1,2
21.06.2016,0,1,1,2
22.06.2016,0,1,1,2
23.06.2016,0,1,1,2
24.06.2016,0,0,1,1
25.06.2016,0,0,1,1
26.06.2016,0,0,1,1
27.06.2016,0,0,1,1
28.06.2016,0,0,1,1
29.06.2016,0,0,1,1
30.06.2016,0,0,1,1
01.07.2016,0,0,1,1
13.07.2016,0,0,1,1
14.07.2016,0,0,1,1
15.07.2016,0,0,1,1
16.07.2016,0,0,1,1
17.07.2016,0,0,1,1
18.07.2016,0,0,1,1
19.07.2016,0,0,1,1
20.07.2016,0,0,1,1
21.07.2016,0,0,1,1
22.07.2016,0,0,1,1
23.07.2016,0,0,1,1
24.07.2016,0,0,1,1
25.07.2016,0,0,1,1
26.07.2016,0,0,1,1
27.07.2016,0,0,1,1
28.07.2016,0,0,1,1
29.07.2016,0,0,1,1
30.07.2016,0,0,1,1
31.07.2016,0,0,1,1
01.08.2016,0,0,1,1
02.08.2016,0,0,1,1
03.08.2016,0,0,1,1
04.08.2016,0,0,1,1
05.08.2016,0,0,1,1
06.08.2016,0,0,1,1
07.08.2016,0,0,1,1
08.08.2016,0,0,1,1
09.08.2016,0,0,1,1
24.08.2016,0,0,1,1
25.08.2016,0,0,1,1
26.08.2016,0,0,1,1
27.08.2016,0,0,1,1
28.08.2016,0,0,1,1
29.08.2016,0,0,1,1
30.08.2016,0,0,1,1
31.08.2016,0,0,1,1
01.09.2016,0,0,1,1
02.09.2016,0,0,1,1
03.09.2016,0,0,1,1
04.09.2016,0,0,1,1
05.09.2016,0,0,1,1
06.09.2016,0,0,1,1
07.09.2016,0,0,1,1
08.09.2016,0,0,1,1
09.09.2016,0,0,1,1
10.09.2016,0,0,1,1
11.09.2016,0,0,1,1
12.09.2016,0,0,1,1
13.09.2016,0,0,1,1
14.09.2016,0,0,1,1
15.09.2016,0,0,1,1
16.09.2016,0,0,1,1
17.09.2016,0,0,1,1
18.09.2016,0,0,1,1
19.09.2016,0,0,1,1
20.09.2016,0,0,1,1
23.09.2016,0,1,0,1
24.09.2016,0,1,0,1
25.09.2016,0,1,0,1
26.09.2016,0,1,0,1
27.09.2016,0,1,0,1
28.09.2016,0,1,0,1
29.09.2016,0,1,0,1
30.09.2016,0,1,0,1
01.10.2016,0,1,0,1
02.10.2016,0,1,0,1
03.10.2016,0,1,0,1
04.10.2016,0,1,0,1
05.10.2016,0,0,1,1
06.10.2016,0,0,1,1
07.10.2016,0,0,1,1
08.10.2016,0,0,1,1
09.10.2016,0,0,1,1
10.10.2016,0,1,0,1
11.10.2016,0,1,0,1
12.10.2016,0,1,0,1
13.10.2016,0,1,0,1
14.10.2016,0,1,0,1
15.10.2016,0,1,0,1
16.10.2016,0,1,0,1
17.10.2016,0,1,1,2
18.10.2016,0,2,0,2
19.10.2016,0,2,0,2
20.10.2016,0,2,0,2
21.10.2016,0,2,0,2
22.10.2016,0,3,0,3
23.10.2016,0,3,0,3
24.10.2016,0,3,0,3
25.10.2016,0,3,0,3
26.10.2016,0,3,0,3
27.10.2016,0,3,0,3
28.10.2016,0,3,0,3
29.10.2016,0,3,0,3
30.10.2016,0,3,0,3
31.10.2016,0,3,0,3
01.11.2016,0,3,0,3
02.11.2016,0,3,0,3
03.11.2016,0,3,0,3
04.11.2016,0,3,0,3
05.11.2016,0,3,0,3
06.11.2016,0,3,0,3
07.11.2016,0,2,0,2
08.11.2016,0,2,0,2
09.11.2016,0,2,0,2
10.11.2016,0,2,0,2
11.11.2016,0,2,0,2
12.11.2016,0,2,0,2
13.11.2016,0,2,0,2
14.11.2016,0,2,0,2
15.11.2016,0,2,0,2
16.11.2016,0,2,0,2
17.11.2016,0,2,0,2
18.11.2016,0,2,0,2
19.11.2016,0,2,0,2
20.11.2016,0,2,0,2
21.11.2016,0,2,0,2
22.11.2016,0,1,0,1
23.11.2016,0,1,0,1
24.11.2016,0,1,0,1
25.11.2016,0,1,0,1
26.11.2016,0,1,0,1
27.11.2016,0,1,0,1
28.11.2016,0,1,0,1
29.11.2016,0,1,0,1
30.11.2016,0,1,0,1
07.12.2016,0,0,1,1
08.12.2016,0,1,1,2
09.12.2016,0,1,1,2
10.12.2016,0,1,1,2
11.12.2016,0,1,1,2
12.12.2016,0,1,1,2
13.12.2016,0,1,1,2
14.12.2016,0,1,1,2
15.12.2016,0,1,1,2
16.12.2016,0,1,1,2
17.12.2016,0,1,1,2
18.12.2016,0,1,1,2
19.12.2016,0,1,1,2
20.12.2016,0,1,1,2
21.12.2016,0,1,1,2
22.12.2016,0,1,1,2
23.12.2016,0,1,1,2
24.12.2016,0,1,1,2
25.12.2016,0,1,1,2
26.12.2016,0,1,1,2
27.12.2016,0,1,1,2
28.12.2016,0,1,1,2
29.12.2016,0,2,1,3
30.12.2016,0,2,1,3
31.12.2016,0,2,1,3
01.01.2017,0,2,1,3
02.01.2017,0,2,1,3
03.01.2017,0,2,1,3
04.01.2017,0,2,0,2
05.01.2017,0,2,0,2
06.01.2017,0,2,0,2
07.01.2017,0,2,0,2
08.01.2017,0,2,0,2
09.01.2017,0,2,0,2
10.01.2017,0,2,0,2
11.01.2017,0,2,0,2
12.01.2017,0,2,0,2
13.01.2017,0,2,0,2
14.01.2017,0,2,0,2
15.01.2017,0,2,0,2
16.01.2017,0,2,0,2
17.01.2017,0,2,0,2
18.01.2017,0,2,0,2
19.01.2017,0,1,0,1
20.01.2017,0,1,0,1
21.01.2017,0,1,0,1
22.01.2017,0,1,0,1
23.01.2017,0,1,0,1
24.01.2017,0,1,0,1
25.01.2017,0,1,0,1
26.01.2017,0,2,0,2
27.01.2017,0,2,0,2
28.01.2017,0,1,0,1
29.01.2017,0,1,0,1
30.01.2017,0,1,0,1
31.01.2017,0,1,0,1
01.02.2017,0,1,0,1
02.02.2017,0,1,0,1
03.02.2017,0,1,0,1
04.02.2017,0,1,0,1
05.02.2017,0,1,0,1
06.02.2017,0,1,0,1
07.02.2017,0,1,0,1
08.02.2017,0,1,0,1
09.02.2017,0,1,0,1
10.02.2017,0,1,0,1
11.02.2017,0,1,0,1
12.02.2017,0,1,0,1
13.02.2017,0,1,0,1
14.02.2017,0,1,0,1
15.02.2017,0,1,0,1
16.02.2017,0,1,0,1
17.02.2017,0,1,0,1
18.02.2017,0,1,0,1
19.02.2017,0,1,0,1
20.02.2017,0,1,0,1
21.02.2017,0,1,0,1
22.02.2017,0,1,0,1
23.02.2017,0,1,0,1
24.02.2017,0,1,0,1
25.02.2017,0,1,0,1
26.02.2017,0,1,0,1
27.02.2017,0,1,0,1
28.02.2017,0,1,0,1
01.03.2017,0,1,0,1
02.03.2017,0,1,0,1
03.03.2017,0,1,0,1
04.03.2017,0,1,0,1
05.03.2017,0,1,0,1
06.03.2017,0,1,0,1
07.03.2017,0,1,0,1
08.03.2017,0,1,0,1
09.03.2017,0,1,0,1
10.03.2017,0,1,0,1
11.03.2017,0,1,0,1
12.03.2017,0,1,0,1
13.03.2017,0,1,0,1
14.03.2017,0,1,0,1
15.03.2017,0,1,0,1
16.03.2017,0,1,0,1
17.03.2017,0,2,0,2
18.03.2017,0,2,0,2
19.03.2017,0,2,0,2
20.03.2017,0,2,0,2
21.03.2017,0,2,0,2
22.03.2017,0,2,0,2
23.03.2017,0,2,0,2
24.03.2017,0,2,0,2
25.03.2017,0,1,1,2
26.03.2017,0,1,1,2
27.03.2017,0,1,1,2
28.03.2017,0,1,1,2
29.03.2017,0,1,1,2
30.03.2017,0,1,1,2
31.03.2017,0,1,1,2
01.04.2017,0,1,1,2
02.04.2017,0,1,1,2
03.04.2017,0,1,1,2
04.04.2017,0,1,1,2
05.04.2017,0,1,1,2
06.04.2017,0,1,1,2
07.04.2017,0,1,1,2
08.04.2017,0,1,1,2
09.04.2017,0,1,1,2
10.04.2017,0,1,1,2
11.04.2017,0,1,1,2
12.04.2017,0,1,1,2
13.04.2017,0,1,1,2
14.04.2017,0,1,0,1
15.04.2017,0,1,0,1
16.04.2017,0,1,0,1
17.04.2017,0,1,0,1
18.04.2017,0,1,0,1
19.04.2017,0,1,0,1
20.04.2017,0,1,0,1
21.04.2017,0,1,0,1
22.04.2017,0,1,0,1
23.04.2017,0,1,0,1
24.04.2017,0,1,0,1
25.04.2017,0,1,0,1
26.04.2017,0,1,0,1
27.04.2017,0,1,0,1
28.04.2017,0,1,0,1
29.04.2017,0,1,0,1
30.04.2017,0,1,0,1
01.05.2017,0,1,0,1
02.05.2017,0,1,0,1
03.05.2017,0,1,0,1
04.05.2017,0,1,0,1
05.05.2017,0,1,1,2
06.05.2017,0,1,1,2
07.05.2017,0,1,1,2
08.05.2017,0,1,1,2
09.05.2017,0,1,1,2
10.05.2017,0,1,1,2
11.05.2017,0,1,1,2
12.05.2017,0,1,1,2
13.05.2017,0,1,1,2
14.05.2017,0,1,1,2
15.05.2017,0,1,1,2
16.05.2017,0,1,1,2
17.05.2017,0,1,1,2
18.05.2017,0,1,1,2
19.05.2017,0,1,1,2
20.05.2017,0,1,1,2
21.05.2017,0,1,1,2
22.05.2017,0,1,1,2
23.05.2017,0,1,1,2
24.05.2017,0,1,1,2
25.05.2017,0,1,1,2
26.05.2017,0,1,1,2
27.05.2017,0,1,1,2
28.05.2017,0,1,1,2
29.05.2017,0,1,1,2
30.05.2017,0,1,1,2
31.05.2017,0,1,1,2
01.06.2017,0,1,1,2
02.06.2017,0,1,0,1
03.06.2017,0,1,0,1
04.06.2017,0,1,0,1
05.06.2017,0,1,0,1
06.06.2017,0,1,0,1
07.06.2017,0,2,0,2
08.06.2017,0,2,0,2
09.06.2017,0,1,1,2
10.06.2017,0,1,1,2
11.06.2017,0,1,1,2
12.06.2017,0,1,1,2
13.06.2017,0,1,1,2
14.06.2017,0,1,1,2
15.06.2017,0,1,1,2
16.06.2017,0,1,1,2
17.06.2017,0,1,1,2
18.06.2017,0,1,1,2
19.06.2017,0,1,1,2
20.06.2017,0,1,1,2
21.06.2017,0,1,1,2
22.06.2017,0,1,1,2
23.06.2017,0,1,1,2
24.06.2017,0,1,1,2
25.06.2017,0,1,1,2
26.06.2017,0,1,1,2
27.06.2017,0,1,1,2
28.06.2017,0,0,1,1
29.06.2017,0,0,1,1
30.06.2017,0,0,1,1
01.07.2017,0,0,1,1
02.07.2017,0,0,1,1
03.07.2017,0,0,1,1
04.07.2017,0,0,1,1
06.07.2017,0,1,1,2
07.07.2017,0,1,1,2
08.07.2017,0,1,1,2
09.07.2017,0,1,1,2
10.07.2017,0,1,1,2
11.07.2017,0,1,1,2
12.07.2017,0,1,1,2
13.07.2017,0,1,1,2
14.07.2017,0,1,1,2
15.07.2017,0,1,1,2
16.07.2017,0,1,1,2
17.07.2017,0,1,1,2
18.07.2017,0,1,1,2
19.07.2017,0,1,1,2
20.07.2017,0,1,1,2
21.07.2017,0,1,1,2
22.07.2017,0,1,1,2
23.07.2017,0,1,1,2
24.07.2017,0,1,1,2
25.07.2017,0,1,1,2
26.07.2017,0,1,1,2
27.07.2017,0,1,1,2
28.07.2017,0,1,1,2
29.07.2017,0,1,1,2
30.07.2017,0,1,1,2
31.07.2017,0,1,1,2
01.08.2017,0,1,1,2
02.08.2017,0,1,2,3
03.08.2017,0,0,1,1
04.08.2017,0,0,1,1
05.08.2017,0,0,1,1
06.08.2017,0,0,1,1
07.08.2017,0,0,1,1
08.08.2017,0,0,1,1
09.08.2017,0,0,1,1
10.08.2017,0,0,1,1
11.08.2017,0,0,1,1
12.08.2017,0,0,1,1
13.08.2017,0,0,1,1
14.08.2017,0,0,1,1
15.08.2017,0,0,1,1
16.08.2017,0,1,0,1
17.08.2017,0,1,1,2
18.08.2017,0,1,1,2
19.08.2017,0,1,1,2
20.08.2017,0,1,1,2
21.08.2017,0,1,1,2
22.08.2017,0,1,1,2
23.08.2017,0,1,1,2
24.08.2017,0,1,2,3
25.08.2017,0,1,2,3
26.08.2017,0,1,2,3
27.08.2017,0,2,1,3
28.08.2017,0,2,1,3
29.08.2017,0,2,2,4
30.08.2017,0,2,2,4
31.08.2017,0,2,2,4
01.09.2017,0,2,2,4
02.09.2017,0,2,2,4
03.09.2017,0,2,2,4
04.09.2017,0,2,2,4
05.09.2017,0,2,2,4
06.09.2017,0,2,2,4
07.09.2017,0,2,2,4
08.09.2017,0,2,2,4
09.09.2017,0,2,2,4
10.09.2017,0,2,2,4
11.09.2017,0,2,2,4
12.09.2017,0,2,2,4
13.09.2017,0,2,2,4
14.09.2017,0,2,1,3
15.09.2017,0,2,1,3
16.09.2017,0,2,1,3
17.09.2017,0,2,1,3
18.09.2017,0,2,1,3
19.09.2017,0,2,1,3
20.09.2017,0,2,1,3
21.09.2017,0,2,2,4
22.09.2017,0,3,1,4
23.09.2017,0,3,1,4
24.09.2017,1,2,1,4
25.09.2017,1,2,1,4
26.09.2017,0,3,0,3
27.09.2017,0,3,0,3
28.09.2017,0,3,0,3
29.09.2017,0,3,0,3
30.09.2017,1,2,0,3
01.10.2017,1,2,0,3
02.10.2017,1,2,0,3
03.10.2017,1,2,0,3
04.10.2017,1,2,0,3
05.10.2017,1,2,1,4
06.10.2017,1,2,2,5
07.10.2017,1,2,2,5
08.10.2017,1,2,2,5
09.10.2017,1,2,2,5
10.10.2017,1,2,2,5
11.10.2017,2,1,3,6
12.10.2017,2,1,3,6
13.10.2017,2,1,3,6
14.10.2017,1,2,3,6
15.10.2017,1,1,3,5
16.10.2017,1,2,2,5
17.10.2017,1,3,1,5
18.10.2017,1,3,1,5
19.10.2017,1,3,1,5
20.10.2017,1,3,1,5
21.10.2017,0,4,1,5
22.10.2017,0,4,1,5
23.10.2017,1,3,1,5
24.10.2017,1,3,1,5
25.10.2017,1,3,1,5
26.10.2017,1,3,1,5
27.10.2017,1,3,1,5
28.10.2017,1,3,1,5
29.10.2017,1,3,1,5
30.10.2017,1,3,2,6
31.10.2017,1,4,1,6
01.11.2017,1,4,1,6
02.11.2017,1,4,0,5
03.11.2017,1,4,0,5
04.11.2017,1,4,0,5
05.11.2017,1,4,0,5
06.11.2017,1,4,1,6
07.11.2017,1,4,1,6
08.11.2017,1,4,1,6
09.11.2017,1,5,0,6
10.11.2017,1,5,0,6
11.11.2017,1,5,0,6
12.11.2017,1,5,0,6
13.11.2017,1,5,0,6
14.11.2017,1,5,0,6
15.11.2017,1,5,0,6
16.11.2017,2,4,0,6
17.11.2017,1,5,0,6
18.11.2017,0,6,0,6
19.11.2017,0,6,0,6
20.11.2017,2,4,0,6
21.11.2017,2,4,0,6
22.11.2017,3,2,0,5
23.11.2017,3,2,1,6
24.11.2017,2,2,1,5
25.11.2017,2,2,1,5
26.11.2017,2,2,1,5
27.11.2017,2,2,1,5
28.11.2017,3,2,1,6
29.11.2017,3,1,1,5
30.11.2017,3,1,1,5
01.12.2017,3,1,1,5
